Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
lme4,/usr/local/lib/R/site-library,1.1-21,NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lmerTest,/usr/local/lib/R/site-library,3.1-0,NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lmodel2,/usr/local/lib/R/site-library,1.7-3,NA,R (>= 2.14.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
lmtest,/usr/local/lib/R/site-library,0.9-37,NA,"R (>= 3.0.0), stats, zoo",graphics,NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
locfit,/usr/local/lib/R/site-library,1.5-9.1,NA,R (>= 2.0.1),lattice,NA,"akima, gam",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lokern,/usr/local/lib/R/site-library,1.1-8,NA,NA,"grDevices, graphics, stats, utils, sfsmisc (>= 1.0-12)",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
longmemo,/usr/local/lib/R/site-library,1.1-1,NA,NA,"graphics, utils, stats",NA,sfsmisc,fracdiff,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
loo,/usr/local/lib/R/site-library,2.1.0,NA,R (>= 3.1.2),"graphics, matrixStats (>= 0.52), parallel, stats, checkmate",NA,"bayesplot (>= 1.5.0), brms (>= 2.2.0), ggplot2, knitr,
rmarkdown, rstan, rstanarm (>= 2.17.4), rstantools, spdep,
testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
lpSolve,/usr/local/lib/R/site-library,5.6.13.3,NA,NA,NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.6.1
lpsymphony,/usr/local/lib/R/site-library,1.12.0,NA,R (>= 3.0.0),NA,NA,"BiocStyle, knitr",slam,EPL,NA,NA,NA,NA,yes,3.6.1
lqa,/usr/local/lib/R/site-library,1.0-3,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.4.2
lsei,/usr/local/lib/R/site-library,1.2-0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lsmeans,/usr/local/lib/R/site-library,2.30-0,NA,"emmeans (>= 1.3), methods, R (>= 3.2)",NA,NA,,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
ltsa,/usr/local/lib/R/site-library,1.4.6,NA,R (>= 2.1.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lubridate,/usr/local/lib/R/site-library,1.7.4,NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo",GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
magic,/usr/local/lib/R/site-library,1.5-9,NA,"R (>= 2.10), abind",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
magrittr,/usr/local/lib/R/site-library,1.5,NA,NA,NA,NA,"testthat, knitr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
manipulateWidget,/usr/local/lib/R/site-library,0.10.0,NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.1
mapproj,/usr/local/lib/R/site-library,1.2.6,NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,Lucent Public License,NA,NA,NA,NA,yes,3.6.1
maps,/usr/local/lib/R/site-library,3.3.0,NA,R (>= 3.0.0),"graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
maptools,/usr/local/lib/R/site-library,0.9-5,NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.50), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo",GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
maptree,/usr/local/lib/R/site-library,1.4-7,NA,"R (>= 2.14), cluster, rpart",NA,NA,NA,NA,Unlimited,NA,NA,NA,NA,NA,3.6.1
markdown,/usr/local/lib/R/site-library,1.1,NA,R (>= 2.11.1),"utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
MASS,/usr/local/lib/R/site-library,7.3-51.4,recommended,"R (>= 3.1.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
Matrix,/usr/local/lib/R/site-library,1.2-17,recommended,R (>= 3.2.0),"methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.6.1
matrixcalc,/usr/local/lib/R/site-library,1.0-3,NA,R (>= 2.0.1),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
MatrixModels,/usr/local/lib/R/site-library,0.4-1,NA,R (>= 3.0.1),"stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
matrixStats,/usr/local/lib/R/site-library,0.54.0,NA,R (>= 2.12.0),NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
maxLik,/usr/local/lib/R/site-library,1.3-6,NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods",sandwich,NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
maxlike,/usr/local/lib/R/site-library,0.1-7,NA,"R (>= 2.10.0), raster",NA,NA,dismo,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
MBA,/usr/local/lib/R/site-library,0.0-9,NA,R (> 2.10.0),NA,BH,sp,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mc2d,/usr/local/lib/R/site-library,0.1-18,NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mclust,/usr/local/lib/R/site-library,5.4.5,NA,R (>= 3.0),"stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mda,/usr/local/lib/R/site-library,0.4-10,NA,"R (>= 1.9.0), stats, class",NA,NA,earth,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
mediation,/usr/local/lib/R/site-library,4.4.7,NA,"R (>= 2.15.1), MASS, Matrix, mvtnorm, sandwich","lpSolve, Hmisc, lme4 (>= 1.0), stats, graphics, grDevices,
utils",NA,"mgcv, quantreg, VGAM, SuppDists, survival, parallel",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
memoise,/usr/local/lib/R/site-library,1.1.0,NA,NA,digest (>= 0.6.3),NA,"testthat, aws.s3, httr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
merTools,/usr/local/lib/R/site-library,0.5.0,NA,"R (>= 3.0.2), arm, lme4 (>= 1.1-11), methods","dplyr, mvtnorm, foreach, shiny, abind, ggplot2, blme, broom,",NA,"testthat, knitr, rmarkdown, parallel, nlme, future.apply,
rstanarm, Amelia, DT",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
metacoder,/usr/local/lib/R/site-library,0.3.3,NA,"R (>= 3.0.2), taxa","stringr, ggplot2, igraph, scales, grid, taxize, seqinr,
reshape2, zoo, traits, RColorBrewer, RCurl, ape, reshape,
stats, grDevices, utils, lazyeval, dplyr, magrittr, readr,
rlang, biomformat, phylotate, ggfittext, vegan, ggrepel,
cowplot, GA, Rcpp, crayon, svglite, viridisLite, tibble",Rcpp,"knitr, rmarkdown, testthat, zlibbioc, BiocManager, phyloseq",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
metafor,/usr/local/lib/R/site-library,2.1-0,NA,"R (>= 3.5.0), methods, Matrix","stats, utils, graphics, grDevices, nlme",NA,"lme4, numDeriv, minqa, nloptr, dfoptim, ucminf, CompQuadForm,
mvtnorm, Formula, BiasedUrn, Epi, multcomp, gsl, sp, survival,
boot, MASS, crayon, R.rsp, testthat, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mets,/usr/local/lib/R/site-library,1.2.6,NA,"R (>= 3.3), timereg (>= 1.9.4), lava (>= 1.6.6)","mvtnorm (>= 1.0-11), numDeriv, compiler, Rcpp, splines,
survival (>= 2.43-1),","Rcpp, RcppArmadillo, mvtnorm","prodlim, testthat (>= 0.11), ucminf, R.rsp (>= 0.40)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mi,/usr/local/lib/R/site-library,1.0,NA,"R (>= 3.0.0), methods, Matrix, stats4",arm (>= 1.4-11),NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
microbenchmark,/usr/local/lib/R/site-library,1.4-6,NA,NA,"graphics, stats",NA,"ggplot2, multcomp",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
mime,/usr/local/lib/R/site-library,0.7,NA,NA,tools,NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.1
miniUI,/usr/local/lib/R/site-library,0.1.1.1,NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
minpack.lm,/usr/local/lib/R/site-library,1.2-1,NA,NA,NA,NA,MASS,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
minqa,/usr/local/lib/R/site-library,1.2.4,NA,NA,Rcpp (>= 0.9.10),Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
misc3d,/usr/local/lib/R/site-library,0.8-4,NA,NA,NA,NA,"rgl, tkrplot, MASS",NA,GPL,NA,NA,NA,NA,NA,3.6.1
miscTools,/usr/local/lib/R/site-library,0.6-22,NA,R (>= 2.14.0),NA,NA,Ecdat (>= 0.1-5),NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
missForest,/usr/local/lib/R/site-library,1.4,NA,"randomForest,foreach,itertools",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mitools,/usr/local/lib/R/site-library,2.4,NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mix,/usr/local/lib/R/site-library,1.0-10,NA,stats,NA,NA,NA,NA,Unlimited,NA,NA,NA,NA,yes,3.6.1
mixOmics,/usr/local/lib/R/site-library,6.8.2,NA,"R (>= 3.5.0), MASS, lattice, ggplot2","igraph, ellipse, corpcor, RColorBrewer, parallel, dplyr,
tidyr, reshape2, methods, matrixStats, rARPACK, gridExtra,
grDevices, graphics, stats, utils",NA,"BiocStyle, knitr, rmarkdown, testthat, rgl",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mlbench,/usr/local/lib/R/site-library,2.1-1,NA,R (>= 2.10),NA,NA,lattice,NA,GPL-2,NA,NA,NA,NA,NA,3.6.1
MLmetrics,/usr/local/lib/R/site-library,1.1.1,NA,R (>= 2.10),"stats, utils, ROCR",NA,e1071,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mlmRev,/usr/local/lib/R/site-library,1.0-7,NA,"lme4, R (>= 2.10)",NA,NA,lattice,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mlogit,/usr/local/lib/R/site-library,1.0-1,NA,"R (>= 2.10), Formula, zoo, lmtest","statmod, MASS, Rdpack",NA,"knitr, car, nnet, lattice, AER, ggplot2, texreg, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mnormt,/usr/local/lib/R/site-library,1.5-5,NA,R (>= 2.2.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
ModelMetrics,/usr/local/lib/R/site-library,1.2.2,NA,R (>= 3.2.2),"Rcpp, data.table",Rcpp,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
modelr,/usr/local/lib/R/site-library,0.1.5,NA,R (>= 3.2),"broom, dplyr, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0),
tibble, tidyr (>= 0.8.0)",NA,"compiler, covr, ggplot2, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
modeltools,/usr/local/lib/R/site-library,0.2-22,NA,"stats, stats4",methods,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mosaic,/usr/local/lib/R/site-library,1.5.0,NA,"R (>= 3.0.0), dplyr, lattice (>= 0.20-21), ggformula,
mosaicData, Matrix","mosaicCore (>= 0.5.0), ggplot2, ggrepel, lazyeval (>= 0.2.0),
MASS, grid, tidyr, readr, methods, utils, splines,
latticeExtra, ggdendro, gridExtra, glue, broom, leaflet",NA,"lubridate, fastR, magrittr, NHANES, RCurl, sp, maptools, vcd,
testthat, knitr, tools, parallel, mapproj, rgl, rmarkdown",manipulate,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mosaicCalc,/usr/local/lib/R/site-library,0.5.0,NA,"R (>= 3.0.0), mosaicCore","methods, stats, MASS, mosaic",NA,"testthat, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mosaicCore,/usr/local/lib/R/site-library,0.6.0,NA,"R (>= 3.0.0),","stats, dplyr, lazyeval, rlang, tidyr, MASS",NA,"mosaicData, mosaic, ggformula, NHANES, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mosaicData,/usr/local/lib/R/site-library,0.17.0,NA,R (>= 3.0.0),NA,NA,"lattice, mosaic, reshape2, ggplot2, dplyr, tidyr, ggformula",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
MPV,/usr/local/lib/R/site-library,1.55,NA,"R (>= 2.0.1), KernSmooth",NA,NA,NA,NA,Unlimited,NA,NA,NA,NA,no,3.6.1
msa,/usr/local/lib/R/site-library,1.16.0,NA,"R (>= 3.1.0), methods, Biostrings (>= 2.40.0)","Rcpp (>= 0.11.1), BiocGenerics, IRanges (>= 1.20.0),
S4Vectors, tools",Rcpp,"Biobase, knitr, seqinr, ape, phangorn",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
msm,/usr/local/lib/R/site-library,1.6.7,NA,NA,"survival,mvtnorm,expm",NA,"mstate,minqa,doParallel,foreach,numDeriv,testthat,flexsurv",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mstate,/usr/local/lib/R/site-library,0.2.11,NA,survival (>= 2.40),RColorBrewer,NA,cmprsk,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
muhaz,/usr/local/lib/R/site-library,1.2.6.1,NA,R(>= 2.3),survival,NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.1
multcomp,/usr/local/lib/R/site-library,1.4-10,NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
multcompView,/usr/local/lib/R/site-library,0.1-7,NA,NA,grid,NA,"multcomp, pgirmess, MASS",NA,GPL,NA,NA,NA,NA,no,3.6.1
multtest,/usr/local/lib/R/site-library,2.40.0,NA,"R (>= 2.10), methods, BiocGenerics, Biobase","survival, MASS, stats4",NA,snow,NA,LGPL,NA,NA,NA,NA,yes,3.6.1
MuMIn,/usr/local/lib/R/site-library,1.43.6,NA,R (>= 3.5.0),"graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 2.37.5), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5)",GPL-2,NA,NA,NA,NA,no,3.6.1
munsell,/usr/local/lib/R/site-library,0.5.0,NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
mvabund,/usr/local/lib/R/site-library,3.12.3,NA,R (>= 3.0.0),"Rcpp, MASS, methods, stats, tweedie, statmod, parallel","Rcpp, RcppGSL",NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,yes,3.4.1
mvinfluence,/usr/local/lib/R/site-library,0.8-3,NA,"car, heplots",NA,NA,,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mvtnorm,/usr/local/lib/R/site-library,1.0-11,NA,R(>= 3.5.0),"stats, methods",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
NADA,/usr/local/lib/R/site-library,1.6-1,NA,"methods,survival",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
natserv,/usr/local/lib/R/site-library,0.3.0,NA,R(>= 3.2.1),"crul (>= 0.7.0), xml2 (>= 1.2.0), tibble (>= 2.0.1),
data.table (>= 1.12.0)",NA,"testthat, knitr, ggplot2, maps, mapproj, vcr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
neighbr,/usr/local/lib/R/site-library,1.0.2,NA,R (>= 3.3.0),NA,NA,"testthat, knitr, rmarkdown, mlbench",NA,GPL (>= 2.1),NA,NA,NA,NA,no,3.6.1
network,/usr/local/lib/R/site-library,1.15,NA,"R (>= 2.10), utils","tibble, magrittr",NA,"sna, statnet.common, testthat, covr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
networkD3,/usr/local/lib/R/site-library,0.4,NA,R (>= 3.0.0),"htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny",GPL (>= 3),NA,NA,NA,NA,no,3.6.1
networkDynamic,/usr/local/lib/R/site-library,0.10.0,NA,"R (>= 3.0.0), network (>= 1.15)","statnet.common, methods",network,testthat,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
networkDynamicData,/usr/local/lib/R/site-library,0.2.1,NA,"R (>= 3.0),networkDynamic (>= 0.6), network (>= 1.9)",NA,NA,NA,NA,GPL-3 + file LICENSE,NA,NA,NA,NA,no,3.6.1
networksis,/usr/local/lib/R/site-library,2.1-3,NA,network,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
NHANES,/usr/local/lib/R/site-library,2.1.0,NA,R (>= 3.0),NA,NA,mosaic,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
nlme,/usr/local/lib/R/site-library,3.1-141,recommended,R (>= 3.4.0),"graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.6.1
nloptr,/usr/local/lib/R/site-library,1.2.1,NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,LGPL-3,NA,NA,NA,NA,yes,3.6.1
NLP,/usr/local/lib/R/site-library,0.2-0,NA,R (>= 3.2.0),utils,NA,NA,"udpipe, spacyr, cleanNLP",GPL-3,NA,NA,NA,NA,no,3.6.1
NMF,/usr/local/lib/R/site-library,0.21.0,NA,"R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, bibtex, RUnit, mail, Biobase",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
nortest,/usr/local/lib/R/site-library,1.0-4,NA,NA,stats,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
np,/usr/local/lib/R/site-library,0.60-9,NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,MASS,NA,GPL,NA,NA,NA,NA,yes,3.6.1
npsurv,/usr/local/lib/R/site-library,0.4-0,NA,lsei,methods,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
numDeriv,/usr/local/lib/R/site-library,2016.8-1.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
olsrr,/usr/local/lib/R/site-library,0.5.2,NA,R(>= 3.3),"car, checkmate, cli, clisymbols, crayon, dplyr, ggplot2, gh,
glue, goftest, graphics, gridExtra, magrittr, nortest, purrr,
Rcpp, recipes (>= 0.1.4), rlang, shiny, stringr, tibble, tidyr",Rcpp,"caret, covr, descriptr, grid, haven, jsonlite, knitr,
lubridate, readr, readxl, rmarkdown, scales, shinyBS,
shinythemes, testthat, tools, vdiffr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
OpenMPController,/usr/local/lib/R/site-library,0.2-5,NA,R (>= 3.4.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
openssl,/usr/local/lib/R/site-library,1.4.1,NA,NA,askpass,NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose, sodium",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
openxlsx,/usr/local/lib/R/site-library,4.1.0.1,NA,R (>= 3.3.0),"methods, Rcpp, grDevices, stats, utils, zip",Rcpp,"knitr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
optparse,/usr/local/lib/R/site-library,1.6.2,NA,R (>= 2.9.0),"methods, getopt (>= 1.20.2)",NA,"covr, knitr (>= 1.15.19), stringr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
orcutt,/usr/local/lib/R/site-library,2.3,NA,lmtest,stats,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ordinal,/usr/local/lib/R/site-library,2019.4-25,NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
orthopolynom,/usr/local/lib/R/site-library,1.0-5,NA,"R (>= 2.0.1), polynom",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
oz,/usr/local/lib/R/site-library,1.0-21,NA,NA,graphics,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
packrat,/usr/local/lib/R/site-library,0.5.0,NA,R (>= 3.0.0),"tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
padr,/usr/local/lib/R/site-library,0.5.0,NA,R (>= 3.0.0),"Rcpp, dplyr (>= 0.6.0), lubridate, rlang",Rcpp,"ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table, lintr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.2
pamr,/usr/local/lib/R/site-library,1.56.1,NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
pan,/usr/local/lib/R/site-library,1.6,NA,NA,NA,NA,"mitools, lme4",NA,GPL-3,NA,no,NA,NA,yes,3.6.1
pander,/usr/local/lib/R/site-library,0.6.3,NA,R (>= 2.15.0),"grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp",Rcpp,"grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,AGPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
partitions,/usr/local/lib/R/site-library,1.9-19,NA,NA,"gmp, polynom",NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.1
party,/usr/local/lib/R/site-library,1.3-3,NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)",mvtnorm,"TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
partykit,/usr/local/lib/R/site-library,1.2-5,NA,"R (>= 3.1.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
pbdZMQ,/usr/local/lib/R/site-library,0.3-3,NA,R (>= 3.2.0),NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
pbivnorm,/usr/local/lib/R/site-library,0.6.0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
pbkrtest,/usr/local/lib/R/site-library,0.4-7,NA,"R (>= 3.2.3), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, MASS, methods",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
pbnm,/usr/local/lib/R/site-library,0.3.0.9003,NA,R (>= 3.1.0),"parallel, lme4",NA,"testthat, Matrix",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.2
pcse,/usr/local/lib/R/site-library,1.9.1.1,NA,NA,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
pder,/usr/local/lib/R/site-library,1.0-0,NA,R (>= 2.10),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
penalized,/usr/local/lib/R/site-library,0.9-51,NA,"R (>= 2.10.0), survival, methods",Rcpp,"Rcpp, RcppArmadillo",globaltest,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
PerformanceAnalytics,/usr/local/lib/R/site-library,1.5.3,NA,"R (>= 3.0.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, gplots, testthat",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
